Gender,Age,Income,Employment_Status,Credit_Score,Loan_Amount,Loan_Term_Months,Has_Defaulted_Before,Fraudulent_Activity,Loan_Status
Male,59,45426,Unemployed,527,47418,48,0,0,Under Review
Male,49,37772,Student,401,36163,60,1,0,Rejected
Female,35,123754,Unemployed,716,25604,24,1,0,Rejected
Male,63,23712,Unemployed,515,16310,60,1,0,Rejected
Male,28,21367,Self-employed,706,9226,12,1,0,Rejected
Male,41,126493,Unemployed,698,12781,24,1,0,Rejected
Male,59,127317,Student,798,6515,36,0,0,Approved
Male,39,135142,Employed,764,37133,48,1,0,Rejected
Female,43,111736,Student,381,17972,48,1,0,Rejected
Male,31,71924,Student,664,33092,36,1,0,Rejected
Male,31,23726,Unemployed,462,12410,12,1,0,Rejected
Male,44,109152,Student,347,20522,36,0,1,Rejected
Male,56,47723,Unemployed,810,10095,12,1,0,Rejected
Male,60,146969,Self-employed,628,24047,24,0,0,Under Review
Male,44,123110,Unemployed,415,21470,36,1,0,Rejected
Male,23,120494,Self-employed,636,44129,12,0,0,Under Review
Female,42,29108,Employed,446,9531,24,0,0,Rejected
Male,22,97714,Student,622,38038,36,0,0,Under Review
Female,44,55643,Self-employed,742,23403,48,0,0,Approved
Female,64,51324,Employed,312,43674,36,0,0,Rejected
Male,50,123896,Unemployed,793,30122,60,1,1,Rejected
Male,58,103360,Employed,586,17940,36,0,0,Under Review
Female,22,130896,Self-employed,413,30831,60,1,0,Rejected
Female,41,28927,Student,779,12279,24,0,0,Under Review
Female,53,113680,Employed,321,39220,36,0,0,Rejected
Male,32,116546,Employed,648,7477,24,1,0,Rejected
Male,42,42443,Unemployed,619,18400,24,0,0,Under Review
Female,64,99973,Unemployed,425,7470,12,0,0,Rejected
Male,45,83449,Student,576,3062,24,0,0,Under Review
Male,47,129834,Unemployed,503,42798,24,0,0,Under Review
Female,62,125314,Self-employed,493,20880,36,1,0,Rejected
Male,48,96743,Self-employed,846,35581,36,0,0,Approved
Female,36,141805,Employed,585,45439,48,0,0,Under Review
Female,35,80233,Unemployed,356,15308,12,1,0,Rejected
Female,64,45537,Unemployed,602,27027,24,1,0,Rejected
Male,23,121293,Employed,462,31720,12,0,0,Rejected
Female,57,97576,Student,318,36081,60,0,0,Rejected
Male,27,127522,Unemployed,669,10706,24,1,0,Rejected
Female,41,42612,Unemployed,563,10837,12,0,0,Under Review
Male,29,113977,Student,412,39599,48,1,0,Rejected
Female,59,26471,Unemployed,787,37824,48,0,0,Under Review
Female,38,55631,Self-employed,626,34073,24,1,0,Rejected
Male,24,148449,Self-employed,841,48115,60,1,0,Rejected
Male,45,128997,Student,364,33088,48,1,0,Rejected
Male,34,112059,Student,591,29112,48,0,0,Under Review
Male,29,51348,Self-employed,324,27299,60,0,0,Rejected
Female,46,84732,Self-employed,848,35457,12,0,0,Approved
Male,22,21177,Self-employed,300,31063,48,0,0,Rejected
Male,40,24760,Self-employed,848,4917,36,1,0,Rejected
Male,48,52779,Student,440,3936,48,1,0,Rejected
Female,27,41636,Student,487,37630,12,1,0,Rejected
Female,64,101889,Employed,427,15506,12,0,0,Rejected
Female,28,73551,Student,500,29805,24,0,0,Under Review
Female,55,31556,Self-employed,426,15318,36,0,0,Rejected
Male,34,47598,Unemployed,556,49068,12,1,0,Rejected
Female,37,31563,Self-employed,846,27026,60,0,0,Under Review
Female,56,66819,Self-employed,493,28672,36,0,0,Rejected
Male,60,129326,Student,403,39417,36,1,0,Rejected
Female,24,93770,Employed,834,28281,60,1,0,Rejected
Male,22,111055,Unemployed,564,49442,48,0,0,Under Review
Male,26,46966,Unemployed,683,29091,60,1,0,Rejected
Male,62,140133,Employed,559,39328,60,0,0,Under Review
Male,24,101709,Self-employed,713,49219,48,1,0,Rejected
Female,49,79889,Student,657,19610,48,1,0,Rejected
Female,38,46987,Self-employed,374,2079,48,1,0,Rejected
Female,46,98714,Unemployed,654,30850,48,0,0,Under Review
Male,64,124874,Unemployed,487,47751,48,0,0,Rejected
Female,54,78348,Self-employed,589,21590,60,0,0,Under Review
Male,30,44596,Unemployed,344,31951,24,1,0,Rejected
Male,56,53174,Student,382,16327,24,1,0,Rejected
Male,34,84106,Unemployed,422,13755,12,1,0,Rejected
Female,51,127510,Student,657,8235,24,1,0,Rejected
Female,35,89967,Self-employed,827,18197,24,0,0,Approved
Female,28,79182,Self-employed,365,22473,60,0,0,Rejected
Male,34,113300,Student,674,3031,48,0,1,Under Review
Male,43,107163,Student,461,42282,48,1,0,Rejected
Female,60,59310,Student,679,42863,60,1,0,Rejected
Male,41,76088,Unemployed,657,15287,24,0,0,Under Review
Female,36,148803,Self-employed,487,39679,60,1,0,Rejected
Female,38,28906,Unemployed,621,45463,12,0,0,Under Review
Female,44,56914,Unemployed,749,33230,48,1,0,Rejected
Male,46,130350,Student,773,20037,36,1,0,Rejected
Female,45,65379,Unemployed,312,28052,12,0,0,Rejected
Male,61,98612,Employed,483,4340,12,0,0,Rejected
Male,49,134828,Employed,410,41644,60,1,0,Rejected
Female,35,147445,Employed,807,49664,24,0,0,Approved
Female,21,57650,Employed,589,46203,48,0,0,Under Review
Female,45,66881,Employed,594,2141,36,1,0,Rejected
Female,27,66413,Student,750,26425,12,1,0,Rejected
Male,29,26012,Unemployed,514,20281,36,1,0,Rejected
Male,44,70115,Unemployed,326,43049,24,0,0,Rejected
Female,21,27151,Employed,530,21425,24,1,0,Rejected
Male,64,77716,Unemployed,620,35806,36,1,0,Rejected
Male,28,113747,Employed,532,33113,48,1,0,Rejected
Male,44,112653,Unemployed,736,5270,24,1,0,Rejected
Male,31,56378,Student,832,43814,36,1,0,Rejected
Male,37,62652,Self-employed,702,5683,12,0,0,Approved
Female,28,92430,Employed,352,40884,36,1,0,Rejected
Male,55,33467,Student,612,30809,36,1,0,Rejected
Female,55,51010,Student,580,35552,60,0,0,Under Review
Female,53,148647,Employed,330,4786,24,1,0,Rejected
Female,25,141999,Employed,636,22650,48,1,0,Rejected
Female,62,134793,Student,482,29706,48,0,0,Rejected
Male,59,74691,Employed,322,10190,60,1,0,Rejected
Male,61,84157,Employed,843,39196,48,0,0,Approved
Female,48,128177,Self-employed,745,40449,36,1,0,Rejected
Female,27,32289,Self-employed,373,40661,60,0,0,Rejected
Male,29,64976,Employed,309,30709,12,0,0,Rejected
Female,28,63596,Student,783,46429,24,1,0,Rejected
Female,32,43171,Unemployed,755,15892,24,0,0,Under Review
Male,54,120441,Employed,459,10643,24,0,0,Rejected
Female,53,146296,Employed,313,10943,36,1,0,Rejected
Male,43,106365,Unemployed,477,44240,12,1,0,Rejected
Female,44,138218,Unemployed,711,46760,60,0,0,Approved
Male,57,119590,Unemployed,352,22042,60,1,0,Rejected
Male,55,134014,Self-employed,707,44894,24,0,0,Approved
Female,64,64139,Self-employed,321,7869,12,0,1,Rejected
Male,60,68713,Self-employed,329,41437,12,1,0,Rejected
Male,42,49734,Student,559,45306,12,1,0,Rejected
Female,47,92588,Employed,504,43833,48,0,0,Under Review
Male,55,83646,Self-employed,358,21918,48,1,0,Rejected
Male,21,23654,Student,770,29379,24,1,0,Rejected
Female,55,109022,Student,765,43939,12,0,1,Approved
Female,57,38743,Unemployed,311,26274,12,0,0,Rejected
Male,34,68368,Unemployed,589,18696,60,0,0,Under Review
Male,23,110025,Self-employed,653,3962,60,0,0,Under Review
Female,21,94172,Employed,374,14851,24,0,0,Rejected
Female,25,26441,Employed,740,46747,12,0,0,Under Review
Male,46,139735,Employed,540,6296,24,1,0,Rejected
Male,34,44611,Student,453,15745,60,0,1,Rejected
Male,59,139891,Student,395,6730,60,1,0,Rejected
Male,47,127971,Student,593,14921,48,1,0,Rejected
Male,29,32149,Student,508,33894,24,0,0,Under Review
Female,35,120102,Employed,642,6602,24,1,0,Rejected
Male,35,79189,Employed,387,18575,12,0,0,Rejected
Male,46,127904,Unemployed,689,20023,12,1,0,Rejected
Male,62,41675,Employed,624,46349,48,0,0,Under Review
Female,33,91031,Student,456,16997,36,0,0,Rejected
Male,52,62668,Student,436,18750,36,0,0,Rejected
Female,59,33673,Self-employed,727,42979,36,0,0,Under Review
Female,52,149582,Employed,751,23837,24,1,0,Rejected
Male,24,96666,Employed,440,15997,24,1,1,Rejected
Male,50,108204,Unemployed,382,40439,60,1,0,Rejected
Female,57,100758,Unemployed,476,24067,24,1,0,Rejected
Female,43,85429,Student,497,46039,24,1,0,Rejected
Female,59,43669,Self-employed,720,21923,24,0,0,Under Review
Female,35,54068,Employed,700,9876,48,0,0,Under Review
Female,63,108789,Employed,770,3887,24,0,0,Approved
Male,49,29435,Self-employed,517,43422,12,0,0,Under Review
Male,56,114088,Employed,474,37854,12,0,0,Rejected
Male,33,72249,Unemployed,322,37948,60,1,0,Rejected
Male,52,57384,Self-employed,534,3841,48,0,0,Under Review
Female,27,148782,Employed,312,29756,12,0,0,Rejected
Male,42,101929,Unemployed,400,7040,48,1,0,Rejected
Male,48,147959,Unemployed,835,11304,48,1,0,Rejected
Male,22,96153,Student,822,31341,60,0,0,Approved
Male,62,124056,Employed,751,5758,48,0,0,Approved
Male,26,95388,Self-employed,730,18010,24,1,1,Rejected
Male,48,51401,Unemployed,832,32658,48,0,0,Approved
Male,48,145511,Unemployed,592,38782,60,0,0,Under Review
Male,64,91831,Student,400,2375,60,0,0,Rejected
Male,64,139503,Self-employed,801,34949,60,1,0,Rejected
Female,40,135760,Student,603,23092,12,0,0,Under Review
Male,50,121529,Unemployed,839,1490,24,0,0,Approved
Male,31,147834,Employed,654,4729,12,1,1,Rejected
Female,48,54084,Self-employed,602,6974,36,1,0,Rejected
Female,45,140387,Employed,795,20680,24,1,0,Rejected
Male,59,130641,Employed,526,19324,48,0,0,Under Review
Male,53,125111,Student,535,32334,60,1,0,Rejected
Female,21,75826,Unemployed,754,22398,36,0,0,Approved
Male,47,56451,Employed,312,35650,24,1,0,Rejected
Female,33,27227,Self-employed,509,22292,12,0,0,Under Review
Female,61,51910,Student,696,36755,60,1,0,Rejected
Male,23,56041,Self-employed,399,39353,12,0,0,Rejected
Male,59,108920,Employed,330,4159,24,0,0,Rejected
Male,26,85681,Self-employed,827,33626,24,1,0,Rejected
Female,28,123314,Student,628,30351,36,1,0,Rejected
Female,47,101571,Student,465,38298,48,0,0,Rejected
Female,29,85481,Unemployed,758,18065,12,1,0,Rejected
Female,57,88576,Self-employed,399,22638,36,0,0,Rejected
Female,53,127958,Student,472,2073,60,1,0,Rejected
Male,62,149265,Student,461,47511,48,1,0,Rejected
Male,64,147556,Unemployed,562,19771,36,0,0,Under Review
Male,44,84174,Student,573,36461,12,1,0,Rejected
Female,35,46160,Employed,302,43330,24,1,0,Rejected
Female,52,135170,Self-employed,327,30320,60,0,0,Rejected
Male,52,137867,Unemployed,625,5340,12,0,0,Under Review
Male,44,37633,Employed,448,35924,48,1,0,Rejected
Male,61,114880,Employed,839,17184,48,0,1,Approved
Male,32,37014,Self-employed,787,41734,24,1,0,Rejected
Female,59,100532,Unemployed,737,3580,24,1,1,Rejected
Male,22,69104,Student,364,41025,60,0,0,Rejected
Female,23,61621,Unemployed,655,29967,60,0,0,Under Review
Male,57,97231,Student,832,3159,24,0,0,Approved
Female,37,88388,Self-employed,551,49940,24,0,1,Under Review
Female,22,36014,Self-employed,534,14900,48,0,0,Under Review
Male,22,112578,Employed,526,12440,24,0,0,Under Review
Male,48,53755,Employed,824,15678,36,1,0,Rejected
Female,43,60390,Employed,612,48204,12,1,0,Rejected
Male,57,43711,Self-employed,348,13021,24,0,0,Rejected
Male,52,111658,Student,417,7772,60,1,0,Rejected
Male,53,77993,Self-employed,353,2627,36,1,0,Rejected
Male,21,94696,Self-employed,343,45432,60,1,0,Rejected
Male,39,47213,Employed,352,9219,36,1,0,Rejected
Male,22,135788,Unemployed,824,24464,24,0,0,Approved
Female,64,124956,Employed,401,31232,12,1,0,Rejected
Female,46,77784,Unemployed,697,43481,60,1,0,Rejected
Female,52,27421,Student,437,9488,36,0,0,Rejected
Male,26,106936,Student,686,35949,48,0,0,Under Review
Female,52,119073,Student,410,45362,24,0,1,Rejected
Male,24,37727,Employed,316,40932,12,0,0,Rejected
Male,31,132418,Employed,481,19981,24,1,0,Rejected
Female,37,24358,Employed,835,1901,48,0,0,Under Review
Male,58,85108,Self-employed,840,23444,12,1,0,Rejected
Female,44,146609,Employed,470,43058,48,1,0,Rejected
Female,25,114018,Self-employed,708,19061,24,0,0,Approved
Female,54,144457,Student,677,3881,36,0,0,Under Review
Female,26,52117,Employed,487,30863,24,0,0,Rejected
Female,42,108700,Self-employed,529,46826,24,0,0,Under Review
Female,31,51910,Student,418,6622,24,0,0,Rejected
Male,36,146888,Student,455,2378,60,0,0,Rejected
Male,53,118032,Employed,764,18632,48,1,0,Rejected
Female,29,75754,Unemployed,403,29311,48,1,0,Rejected
Male,26,82438,Unemployed,801,6650,48,1,0,Rejected
Male,36,129847,Student,474,46201,60,1,0,Rejected
Male,49,49371,Unemployed,720,43224,36,0,1,Under Review
Female,23,71501,Unemployed,433,8036,24,0,1,Rejected
Male,40,80946,Self-employed,690,40255,36,1,0,Rejected
Male,56,58467,Self-employed,800,23499,60,1,0,Rejected
Female,39,37625,Self-employed,332,38016,48,1,0,Rejected
Male,46,53893,Student,354,5603,24,0,0,Rejected
Male,23,96329,Unemployed,818,28773,12,0,0,Approved
Male,39,51007,Employed,311,20937,12,0,0,Rejected
Male,40,111302,Unemployed,827,13632,36,1,1,Rejected
Male,52,59532,Student,672,31607,48,1,0,Rejected
Male,27,74253,Self-employed,783,27337,12,0,0,Approved
Male,61,32323,Student,527,1220,36,0,0,Under Review
Female,53,131335,Self-employed,606,47994,60,1,0,Rejected
Male,60,132356,Student,756,5818,36,1,0,Rejected
Male,59,130944,Employed,459,8349,36,0,0,Rejected
Male,38,93379,Self-employed,630,6618,36,1,0,Rejected
Male,60,34210,Self-employed,524,28464,24,0,0,Under Review
Female,21,36456,Unemployed,803,43624,36,0,0,Under Review
Female,31,51367,Student,755,38344,36,1,0,Rejected
Female,48,74624,Unemployed,344,19255,24,1,0,Rejected
Male,45,30106,Student,513,25299,24,1,0,Rejected
Female,43,123493,Employed,358,48975,60,0,1,Rejected
Male,51,88008,Unemployed,494,2462,48,1,0,Rejected
Female,50,145926,Self-employed,788,16905,12,1,0,Rejected
Female,62,135395,Employed,456,25920,12,0,0,Rejected
Male,55,136492,Student,525,17252,36,0,0,Under Review
Female,27,92240,Self-employed,711,42004,60,1,0,Rejected
Female,36,84315,Student,504,41581,36,0,0,Under Review
Female,46,89249,Self-employed,378,35836,12,0,0,Rejected
Male,22,90587,Student,423,6753,24,0,0,Rejected
Male,21,30756,Self-employed,770,41005,48,1,0,Rejected
Female,32,88011,Student,517,15175,60,1,0,Rejected
Male,25,56378,Unemployed,815,7191,24,0,0,Approved
Male,57,24255,Self-employed,403,18898,48,0,0,Rejected
Male,52,34484,Self-employed,692,19982,60,0,0,Under Review
Female,29,145703,Unemployed,733,15622,60,1,0,Rejected
Male,61,76549,Student,630,2001,12,0,0,Under Review
Female,55,54503,Self-employed,442,48645,24,0,0,Rejected
Male,39,144465,Unemployed,839,44000,60,1,0,Rejected
Male,36,93794,Student,577,24283,60,0,0,Under Review
Female,23,145941,Self-employed,532,22435,48,1,0,Rejected
Female,40,126283,Self-employed,828,28223,12,1,0,Rejected
Male,44,120732,Student,389,38244,36,1,0,Rejected
Female,53,65113,Unemployed,791,31024,12,0,0,Approved
Female,44,125730,Self-employed,498,31734,36,0,0,Rejected
Male,31,94069,Student,661,1515,24,1,0,Rejected
Female,28,118117,Self-employed,740,46246,24,0,0,Approved
Male,56,25249,Student,325,2191,60,1,0,Rejected
Male,58,145654,Self-employed,324,33264,24,0,0,Rejected
Female,60,139979,Employed,693,44628,60,1,0,Rejected
Male,40,39201,Unemployed,806,47216,12,1,0,Rejected
Male,55,145541,Unemployed,600,7297,24,0,0,Under Review
Male,45,78576,Employed,638,28856,12,0,0,Under Review
Female,55,138562,Student,566,9334,12,0,0,Under Review
Female,45,145281,Unemployed,760,25162,24,0,0,Approved
Male,49,29686,Student,755,7008,12,1,0,Rejected
Female,38,132413,Self-employed,659,8987,24,1,0,Rejected
Male,38,73363,Employed,367,31966,24,0,0,Rejected
Female,22,117543,Student,711,4332,24,0,0,Approved
Female,55,20661,Student,790,1787,36,1,0,Rejected
Female,36,64843,Unemployed,348,39990,12,0,0,Rejected
Male,61,115673,Self-employed,401,10873,48,0,0,Rejected
Male,56,80963,Unemployed,515,18006,24,0,0,Under Review
Female,53,133092,Self-employed,737,21225,12,0,0,Approved
Female,24,62828,Unemployed,458,37444,60,1,0,Rejected
Male,53,68604,Student,788,36340,24,1,0,Rejected
Male,34,30526,Student,541,40683,24,0,0,Under Review
Female,41,88910,Employed,304,6033,48,1,0,Rejected
Male,40,45592,Student,660,8788,36,0,0,Under Review
Female,28,48982,Student,758,16689,36,0,0,Under Review
Male,27,20207,Student,547,45220,24,0,0,Under Review
Female,23,120969,Student,721,22598,12,1,0,Rejected
Female,37,137181,Employed,314,38480,60,1,0,Rejected
Male,53,108733,Self-employed,421,30703,60,1,0,Rejected
Male,32,118936,Employed,576,1066,12,1,0,Rejected
Male,42,144982,Employed,752,49623,24,1,0,Rejected
Male,42,145839,Unemployed,689,46246,60,0,0,Under Review
Male,50,88619,Self-employed,593,8533,36,0,0,Under Review
Female,58,49328,Unemployed,745,16103,12,1,0,Rejected
Male,58,66479,Employed,509,5616,48,1,0,Rejected
Female,28,128427,Student,601,47045,24,1,0,Rejected
Male,47,40103,Self-employed,522,39498,12,0,0,Under Review
Male,47,59891,Student,302,44492,60,1,0,Rejected
Female,54,30754,Employed,817,12772,24,0,0,Under Review
Female,41,119983,Employed,392,24849,36,0,0,Rejected
Male,50,101437,Employed,819,13940,24,1,0,Rejected
Female,53,118540,Self-employed,727,17932,24,0,0,Approved
Male,48,92982,Unemployed,792,30769,36,0,0,Approved
Male,53,122747,Unemployed,534,25648,36,1,0,Rejected
Male,25,75922,Student,460,48411,24,0,0,Rejected
Female,39,68231,Self-employed,630,33966,36,1,0,Rejected
Female,24,49301,Student,632,28777,12,0,0,Under Review
Male,55,111652,Student,349,33567,36,1,0,Rejected
Male,37,140787,Unemployed,822,18174,36,1,0,Rejected
Male,64,146823,Self-employed,791,43598,24,0,0,Approved
Male,48,82711,Employed,571,14798,12,1,0,Rejected
